time,V_n,W_n
8.56,7.565830708,148.5413513
8.561,7.565830708,148.5413513
8.561,7.566831112,148.5610352
8.562,7.566831112,148.5610352
8.562,7.567831516,148.5807343
8.563,7.567831516,148.5807343
8.563,7.568831921,148.6004028
8.564,7.568831921,148.6004028
8.564,7.569832325,148.6200867
8.565,7.569832325,148.6200867
8.565,7.570832729,148.6397552
8.566,7.570832729,148.6397552
8.566,7.571833134,148.6594238
8.567,7.571833134,148.6594238
8.567,7.572833538,148.6791077
8.568,7.572833538,148.6791077
8.568,7.573833942,148.6987915
8.569,7.573833942,148.6987915
8.569,7.574834347,148.7184906
8.57,7.574834347,148.7184906
8.57,7.575834751,148.7381744
8.571,7.575834751,148.7381744
8.571,7.576835155,148.7578583
8.572,7.576835155,148.7578583
8.572,7.57783556,148.7775421
8.573,7.57783556,148.7775421
8.573,7.578835964,148.7972412
8.574,7.578835964,148.7972412
8.574,7.579836369,148.816925
8.575,7.579836369,148.816925
8.575,7.580836773,148.8366089
8.576,7.580836773,148.8366089
8.576,7.581837177,148.8562927
8.577,7.581837177,148.8562927
8.577,7.582837582,148.8759613
8.578,7.582837582,148.8759613
8.578,7.583837986,148.8956604
8.579,7.583837986,148.8956604
8.579,7.58483839,148.915329
8.58,7.58483839,148.915329
8.58,7.585838795,148.9350128
8.581,7.585838795,148.9350128
8.581,7.586839199,148.9546967
8.582,7.586839199,148.9546967
8.582,7.587839603,148.9743805
8.583,7.587839603,148.9743805
8.583,7.588840008,148.9940643
8.584,7.588840008,148.9940643
8.584,7.589840412,149.0137329
8.585,7.589840412,149.0137329
8.585,7.590840816,149.0334167
8.586,7.590840816,149.0334167
8.586,7.591841221,149.0531006
8.587,7.591841221,149.0531006
8.587,7.592841625,149.0727997
8.588,7.592841625,149.0727997
8.588,7.59384203,149.0924835
8.589,7.59384203,149.0924835
8.589,7.594842434,149.1121521
8.59,7.594842434,149.1121521
8.59,7.595842838,149.1318359
8.591,7.595842838,149.1318359
8.591,7.596843243,149.1515198
8.592,7.596843243,149.1515198
8.592,7.597843647,149.1712189
8.593,7.597843647,149.1712189
8.593,7.598844051,149.1909027
8.594,7.598844051,149.1909027
8.594,7.599844456,149.2105865
8.595,7.599844456,149.2105865
8.595,7.60084486,149.2302704
8.596,7.60084486,149.2302704
8.596,7.601845264,149.2499695
8.597,7.601845264,149.2499695
8.597,7.602845669,149.2696533
8.598,7.602845669,149.2696533
8.598,7.603846073,149.2893372
8.599,7.603846073,149.2893372
8.599,7.604846478,149.309021
8.6,7.604846478,149.309021
8.6,7.605846882,149.3287048
8.601,7.605846882,149.3287048
8.601,7.606847286,149.3484039
8.602,7.606847286,149.3484039
8.602,7.607847691,149.3680878
8.603,7.607847691,149.3680878
8.603,7.608848095,149.3877716
8.604,7.608848095,149.3877716
8.604,7.609848499,149.4074402
8.605,7.609848499,149.4074402
8.605,7.610848904,149.427124
8.606,7.610848904,149.427124
8.606,7.611849308,149.4468079
8.607,7.611849308,149.4468079
8.607,7.612849712,149.4664764
8.608,7.612849712,149.4664764
8.608,7.613850117,149.4861603
8.609,7.613850117,149.4861603
8.609,7.614850521,149.5058441
8.61,7.614850521,149.5058441
8.61,7.615850925,149.525528
8.611,7.615850925,149.525528
8.611,7.61685133,149.5451965
8.612,7.61685133,149.5451965
8.612,7.617851734,149.5648956
8.613,7.617851734,149.5648956
8.613,7.618852139,149.5845947
8.614,7.618852139,149.5845947
8.614,7.619852543,149.6042786
8.615,7.619852543,149.6042786
8.615,7.620852947,149.6239624
8.616,7.620852947,149.6239624
8.616,7.621853352,149.643631
8.617,7.621853352,149.643631
8.617,7.622853756,149.6633148
8.618,7.622853756,149.6633148
8.618,7.62385416,149.6829987
8.619,7.62385416,149.6829987
8.619,7.624854565,149.7026978
8.62,7.624854565,149.7026978
8.62,7.625854969,149.7223816
8.621,7.625854969,149.7223816
8.621,7.626855373,149.7420654
8.622,7.626855373,149.7420654
8.622,7.627855778,149.7617493
8.623,7.627855778,149.7617493
8.623,7.628856182,149.7814331
8.624,7.628856182,149.7814331
8.624,7.629856586,149.8011322
8.625,7.629856586,149.8011322
8.625,7.630856991,149.820816
8.626,7.630856991,149.820816
8.626,7.631857395,149.8404999
8.627,7.631857395,149.8404999
8.627,7.6328578,149.8601685
8.628,7.6328578,149.8601685
8.628,7.633858204,149.8798523
8.629,7.633858204,149.8798523
8.629,7.634858608,149.8995361
8.63,7.634858608,149.8995361
8.63,7.635859013,149.9192047
8.631,7.635859013,149.9192047
8.631,7.636859417,149.9388885
8.632,7.636859417,149.9388885
8.632,7.637859821,149.9585724
8.633,7.637859821,149.9585724
8.633,7.638860226,149.9782562
8.634,7.638860226,149.9782562
8.634,7.63986063,149.9979248
8.635,7.63986063,149.9979248
8.635,7.640861034,150.0176239
8.636,7.640861034,150.0176239
8.636,7.641861439,150.0373077
8.637,7.641861439,150.0373077
8.637,7.642861843,150.0570068
8.638,7.642861843,150.0570068
8.638,7.643862247,150.0767059
8.639,7.643862247,150.0767059
8.639,7.644862652,150.0963898
8.64,7.644862652,150.0963898
8.64,7.645863056,150.1160889
8.641,7.645863056,150.1160889
8.641,7.646863461,150.1357574
8.642,7.646863461,150.1357574
8.642,7.647863865,150.1554413
8.643,7.647863865,150.1554413
8.643,7.648864269,150.1751251
8.644,7.648864269,150.1751251
8.644,7.649864674,150.194809
8.645,7.649864674,150.194809
8.645,7.650865078,150.2144928
8.646,7.650865078,150.2144928
8.646,7.651865482,150.2341614
8.647,7.651865482,150.2341614
8.647,7.652865887,150.2538452
8.648,7.652865887,150.2538452
8.648,7.653866291,150.2735138
8.649,7.653866291,150.2735138
8.649,7.654866695,150.2931976
8.65,7.654866695,150.2931976
8.65,7.6558671,150.3128662
8.651,7.6558671,150.3128662
8.651,7.656867504,150.3325348
8.652,7.656867504,150.3325348
8.652,7.657867908,150.3522034
8.653,7.657867908,150.3522034
8.653,7.658868313,150.3718719
8.654,7.658868313,150.3718719
8.654,7.659868717,150.3915558
8.655,7.659868717,150.3915558
8.655,7.660869122,150.4112396
8.656,7.660869122,150.4112396
8.656,7.661869526,150.4309387
8.657,7.661869526,150.4309387
